Unnamed: 0,Area,Item,,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
10502,India,Cassava,,205381,1083,75000,25.58
10503,India,Cassava,,205381,1083,75000,26.88
10504,India,Cassava,,205381,1083,75000,25.79
10505,India,Cassava,,205381,1083,75000,24.1
10506,India,Cassava,,205381,1083,75000,25.25
10507,India,Cassava,,205381,1083,75000,25.44
10508,India,Cassava,,205381,1083,75000,25.54
10509,India,Cassava,,205381,1083,75000,26.36
10510,India,Cassava,,205381,1083,75000,26.91
10511,India,Cassava,,205381,1083,75000,25.16
10512,India,Cassava,,205381,1083,75000,25.77
10513,India,Cassava,,205381,1083,75000,25.12
10514,India,Cassava,,205381,1083,75000,24.1
10515,India,Cassava,,205381,1083,75000,25.68
10516,India,Cassava,,205381,1083,75000,25.54
10517,India,Cassava,,205381,1083,75000,25.44
10518,India,Cassava,,205381,1083,75000,24.78
10519,India,Cassava,,205381,1083,75000,26.59
10520,India,Cassava,,205381,1083,75000,24.37
10521,India,Cassava,,205381,1083,75000,26.63
10522,India,Cassava,,205381,1083,75000,26.63
10523,India,Cassava,,205381,1083,75000,25.64
10524,India,Maize,,15178,1083,75000,25.58
10525,India,Maize,,15178,1083,75000,26.88
10526,India,Maize,,15178,1083,75000,25.79
10527,India,Maize,,15178,1083,75000,24.1
10528,India,Maize,,15178,1083,75000,25.25
10529,India,Maize,,15178,1083,75000,25.44
10530,India,Maize,,15178,1083,75000,25.54
10531,India,Maize,,15178,1083,75000,26.36
10532,India,Maize,,15178,1083,75000,26.91
10533,India,Maize,,15178,1083,75000,25.16
10534,India,Maize,,15178,1083,75000,25.77
10535,India,Maize,,15178,1083,75000,25.12
10536,India,Maize,,15178,1083,75000,24.1
10537,India,Maize,,15178,1083,75000,25.68
10538,India,Maize,,15178,1083,75000,25.54
10539,India,Maize,,15178,1083,75000,25.44
10540,India,Maize,,15178,1083,75000,24.78
10541,India,Maize,,15178,1083,75000,26.59
10542,India,Maize,,15178,1083,75000,24.37
10543,India,Maize,,15178,1083,75000,26.63
10544,India,Maize,,15178,1083,75000,26.63
10545,India,Maize,,15178,1083,75000,25.64
10546,India,Potatoes,,157136,1083,75000,25.58
10547,India,Potatoes,,157136,1083,75000,26.88
10548,India,Potatoes,,157136,1083,75000,25.79
10549,India,Potatoes,,157136,1083,75000,24.1
10550,India,Potatoes,,157136,1083,75000,25.25
10551,India,Potatoes,,157136,1083,75000,25.44
10552,India,Potatoes,,157136,1083,75000,25.54
10553,India,Potatoes,,157136,1083,75000,26.36
10554,India,Potatoes,,157136,1083,75000,26.91
10555,India,Potatoes,,157136,1083,75000,25.16
10556,India,Potatoes,,157136,1083,75000,25.77
10557,India,Potatoes,,157136,1083,75000,25.12
10558,India,Potatoes,,157136,1083,75000,24.1
10559,India,Potatoes,,157136,1083,75000,25.68
10560,India,Potatoes,,157136,1083,75000,25.54
