index,disease_name,description,Possible Steps,image_url
0,Pepper: Bell Bacterial Spot,"Bacterial spot is a serious disease affecting pepper and bell pepper crops, caused by the bacterium Xanthomonas campestris. It leads to dark, water-soaked spots on leaves and fruits, which can reduce yield and market quality. For farmers, this disease is a major concern as it spreads quickly, especially in warm, wet conditions, often resulting in significant crop loss. Managing bacterial spot requires careful field hygiene, resistant varieties, and proper chemical treatments, all of which add to the cost and effort for small-scale growers.","To avoid bacterial spot in pepper and bell pepper crops, farmers should start by using disease-resistant seed varieties and certified pathogen-free transplants. Practicing crop rotation and avoiding overhead irrigation can help reduce the spread of bacteria. It's important to maintain good field hygiene by removing infected plant debris and weeds. Applying copper-based bactericides early and regularly during the growing season can also help manage the disease. With these preventive steps, farmers can protect their crops and reduce the risk of major losses.",https://csassets.static.wvu.edu/o2gpsy/50d2bf3d-125f-4b45-9c03-487959bd8344/0862b40bec913b574f1f05f79f2805c7/figure-2-tattered%20appearance%20on%20the%20affected%20leaves-893x595.jpg
1,Pepper: Bell Healthy,"Healthy bell pepper plants are vibrant, with strong green leaves, firm stems, and well-formed fruits. They thrive in warm, sunny conditions with well-drained soil rich in nutrients. A healthy plant is less vulnerable to pests and diseases and produces high yields of flavorful, brightly colored peppers. With proper care—like regular watering, mulching, and balanced fertilization—bell peppers can grow vigorously, benefiting farmers with better quality produce and improved market value.","Remove the cankers by pruning at least 15 inches below the end and burn or bury them. Also take preventative care with new season prunings and burn them, too.You are better off pruning during the dormant season. This will minimize the odds that fire blight will infect your tree and produce dead tissue that can easily be infected by Botryosphaeria.You should also take precautions if the bark is damaged by hail, or branches break during a windstorm. Using a copper-based fungicide will protect against both black rot and fire blight.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Potato : Early Blight,"Early blight is a common fungal disease in potatoes caused by Alternaria solani. It appears as dark brown spots with concentric rings on older leaves, leading to leaf drop and reduced plant vigor. For farmers, early blight can significantly reduce yield and tuber quality, especially in warm, humid conditions. The disease spreads quickly and weakens plants, leading to financial losses and increased effort in disease control.","To prevent early blight, farmers should practice crop rotation and avoid planting potatoes in the same soil each year. Using certified, disease-free seed potatoes and resistant varieties helps reduce the risk. Proper field sanitation, including removing plant debris and weeds, is essential. Applying fungicides at the right growth stages and ensuring good spacing between plants for air circulation also help keep the disease in check, protecting both crop health and farmer income.",https://tse2.mm.bing.net/th?id=OIP.w7zFFO_C2lNlXzsoHoPUzAHaFj&pid=Api&P=0&h=180
3,Potato : Late Blight,"Late blight is a devastating disease in potatoes caused by the fungus-like organism Phytophthora infestans. It appears as dark, water-soaked lesions on leaves and stems, quickly spreading and leading to plant collapse. The disease also affects tubers, causing them to rot. Late blight thrives in cool, wet conditions and can wipe out entire fields if not controlled, making it a major threat to farmers’ livelihoods.","Understanding late blight is crucial for farmers and agricultural communities because early detection and prevention can save crops and reduce economic losses. Knowing the signs and favorable conditions for the disease helps in timely application of fungicides and proper field management. By staying informed, farmers can protect their crops more effectively and ensure food security and stable incomes.",https://tse2.mm.bing.net/th?id=OIP.msk7CPBIs01Qxf9Kk8PF1wHaGO&pid=Api&P=0&h=180
4,Potato : Healthy,"A healthy potato plant has strong, upright stems and lush green foliage, free from spots or yellowing. It grows best in well-drained, loose soil with adequate sunlight and regular watering. Healthy plants develop deep, robust root systems and produce smooth, firm tubers. With proper care and nutrient management, potatoes can thrive, offering farmers a reliable and high-yielding crop.","Potatoes are a highly nutritious food, rich in carbohydrates that provide energy. They also contain important vitamins and minerals like vitamin C, potassium, and B vitamins. Potatoes are naturally fat-free, making them a healthy addition to a balanced diet when prepared properly. They support heart health, boost energy, and aid digestion, making them a staple food in many cultures around the world.",https://img.freepik.com/premium-photo/fresh-green-leaf-potato-plant-isolated_696657-22650.jpg
5,Tomato : Bacterial spot,"Bacterial spot in tomatoes is caused by Xanthomonas species and shows up as small, dark, water-soaked spots on leaves, stems, and fruits. Over time, the spots enlarge and cause leaf yellowing and fruit blemishes, reducing both yield and market quality. The disease spreads rapidly in warm, humid conditions and can severely affect crop productivity if not managed early, posing challenges for tomato farmers.","Being aware of bacterial spot and its symptoms helps farmers take quick action to prevent its spread. Early detection allows for timely use of bactericides and field sanitation practices. Understanding how the disease spreads also guides farmers in choosing resistant varieties and managing irrigation effectively. This knowledge ultimately helps protect tomato crops, reduce losses, and improve both yield and fruit quality.",https://tse2.mm.bing.net/th?id=OIP.bdK409twdg5laHgJfpdzJgHaFj&pid=Api&P=0&h=180
6,Tomato : Early Blight,"Early blight in tomatoes is caused by the fungus Alternaria solani and is recognized by dark, circular spots with concentric rings on older leaves. As the disease spreads, it causes leaf yellowing, defoliation, and reduced fruit quality. It thrives in warm, humid conditions and weakens the plant, leading to lower yields and economic loss for farmers if not managed in time.","Being aware of early blight helps farmers take quick action to protect their tomato crops. Early identification allows for timely use of fungicides, proper pruning, and improved spacing to reduce moisture buildup. Knowledge of the disease also promotes better crop rotation and field hygiene, all of which help maintain healthy plants, improve harvest quality, and support consistent farm income.",https://tse2.mm.bing.net/th?id=OIP.fm32O9O4VAtELmUAdQFByAHaE6&pid=Api&P=0&h=180
7,Tomato : Late Blight,"Late blight in tomatoes is a serious disease caused by Phytophthora infestans, the same pathogen that affects potatoes. It causes dark, greasy-looking spots on leaves, stems, and fruits, often leading to rapid plant collapse. The disease spreads quickly in cool, wet weather and can destroy entire tomato crops if not managed properly. For farmers, late blight can mean major yield losses and increased production costs.","Being aware of late blight is important for farmers to protect their tomato crops. Early identification allows for timely action, such as applying fungicides and removing infected plants to stop the spread. Understanding how the disease works and the conditions it thrives in helps in planning better crop rotations and field hygiene. This knowledge supports healthier harvests and more stable farming incomes.",https://tse4.mm.bing.net/th?id=OIP.EUlGCtYSwtakm43GAOJBKQHaJ4&pid=Api&P=0&h=180
8,Tomato : Leaf Mold,"Leaf mold is a fungal disease in tomatoes caused by Fulvia fulva, primarily affecting greenhouse or humid environments. It shows up as yellow spots on the upper leaf surface and fuzzy, grayish mold on the underside. As the disease progresses, leaves wither and drop, reducing the plant’s ability to photosynthesize and leading to lower fruit yields. If not managed early, leaf mold can spread quickly and damage large portions of a tomato crop.","Recognizing leaf mold early helps farmers take quick action to prevent its spread, protecting both plant health and yield. By managing humidity, improving air circulation, and using resistant varieties, farmers can effectively reduce the risk. Knowing about the disease also guides proper fungicide use and sanitation practices, ultimately helping maintain a healthy crop and ensuring better productivity and income.",https://tse1.mm.bing.net/th?id=OIP.eEM-KxvspvFMn1RM9Sg8xAHaFj&pid=Api&P=0&h=180
9,Tomato : Septoria Leaf Spot,"Septoria leaf spot is a common fungal disease affecting tomatoes, caused by Septoria lycopersici. It appears as small, round, dark spots with pale centers on the older leaves, leading to premature leaf drop. As the disease progresses, it weakens the plant, reducing its photosynthetic capacity and overall yield. Infected plants are more susceptible to other diseases, and in severe cases, it can lead to significant crop loss, especially in humid conditions.","Recognizing Septoria leaf spot early helps farmers take preventive measures, such as removing infected leaves and applying fungicides, to limit the spread of the disease. Understanding its life cycle and conditions that favor its development can also guide crop management practices, reducing the risk of infection. By managing Septoria leaf spot effectively, farmers can ensure healthier crops and better yields, improving both food production and economic stability.",https://tse1.mm.bing.net/th?id=OIP.pMJEog6eXZZalw4KUzo4xgHaE7&pid=Api&P=0&h=180
